模型,数据集,种子,AUC,ACC
DIRT+_1,ASSIST2009,2024,0.7120955176484459,0.6942341586235837
DIRT+_1 (w/o attention),ASSIST2009,2024,0.7123235724593587,0.6996558959295006
DIRT+_1 (w/o consistency),ASSIST2009,2024,0.7120955176484459,0.6942341586235837
DIRT+_1 (w/o query),ASSIST2009,2024,0.7084386685937205,0.6953587914393622
DIRT+_1 (w/o weight),ASSIST2009,2024,0.7108363852931672,0.6937305916911456
DIRT+_2,ASSIST2009,2024,0.7495485429116118,0.7294838438942509
DIRT+_2 (w/o attention),ASSIST2009,2024,0.7512843103637165,0.7312631137221989
DIRT+_2 (w/o consistency),ASSIST2009,2024,0.7495485429116118,0.7294838438942509
DIRT+_2 (w/o query),ASSIST2009,2024,0.7415890930770814,0.7198657154846831
DIRT+_2 (w/o weight),ASSIST2009,2024,0.745011045916063,0.7266135123793538
DIRT+_3,ASSIST2009,2024,0.7472484462208492,0.7334116659672681
DIRT+_3 (w/o attention),ASSIST2009,2024,0.7450246222128353,0.7293831305077634
DIRT+_3 (w/o consistency),ASSIST2009,2024,0.7470197882570645,0.7315652538816618
DIRT+_3 (w/o query),ASSIST2009,2024,0.7410336466352627,0.7206546370121696
DIRT+_3 (w/o weight),ASSIST2009,2024,0.7455035539544521,0.731430969366345
DIRT+_4,ASSIST2009,2024,0.745831843697001,0.732656315568611
DIRT+_4 (w/o attention),ASSIST2009,2024,0.7475552115361492,0.7297859840537138
DIRT+_4 (w/o consistency),ASSIST2009,2024,0.7447864883834006,0.7321863197650021
DIRT+_4 (w/o query),ASSIST2009,2024,0.7414583097445099,0.7210742761225346
DIRT+_4 (w/o weight),ASSIST2009,2024,0.7465369060847264,0.7323877465379773
